IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
21,11,SERA,SERA202112,,,,,21,11,SERA,SERA202112,,,21,11,12,3,15,PM,01,4,4,0,0,,CHINESE CAMP,33.1,06,65,2,1,008,E,R-OK,4,556,1,Y,MAINLINE,X,.08,1,TR,874285,002,Y,,,000,,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,5,0,0,25000,20000,T110,T113,0,0,0,0,T110,1,X,008,45000,,06C109,0,000000,0,1,0,1,0,09,15,09,15,1,7,,Cl,,,,549,,2021,0,0,0,0,0,0,TUOLUMNE,109,00,00,,N,OTH,000-000-000,"CREW OF THE R-OKFS-12 WAS HEADING WEST BOUND FROM CHINESE CAMP. AFTER CRESTING THE GRADE AT MP 34, T",HE TRAIN CONTINUED WEST WARD WITH A BRAKE SET. AT APPROXIMATELY MILEPOST 33.4 THE FIRST TRUCK AND WH,"EEL SET OF THE CENTERBEAM TR 874285 CAME OFF THE RAILS AT A SPOT WHERE TRACK GAGE WAS 58 & 1/8"" +. D","UE TO THE BRAKE SET IN THE TRAIN, THE CREW DIDN''T REALIZE/FEEL THEY WERE ON THE GROUND UNTIL A QUATE",R MILE LATER AND PUT THE TRAIN INTO EMERGENCY. THE TRAIN CAME TO REST AT MP 33.1. NO CREW INJURIES W,"ERE REPORTED, NO PRODUCT WAS RELEASED OR DAMAGED.",,,,,,,,,,0,37.865673,-120.472446,2,2,P,,,SONORA
21,09,UP,0921NC034,,,,,21,09,UP,0921NC034,,,21,09,21,3,45,PM,01,0,0,0,0,,OAKLAND,4.35,06,92,2,1,004,E,MRVO,2,14437,1,Y,YARD 134,1,,2,WSGX,005188,114,N,,,000,,7,0,0,0,0,0,0,0,0,0,87,0,85,0,0,0,0,4,0,0,18483,4033,H518,,0,0,0,0,H518,2,1,004,22516,,06C001,0,000000,0,1,0,1,0,10,15,10,15,1,7,,CL,,,,513,,2021,0,0,0,0,0,0,ALAMEDA,001,00,00,,N,OTH,000-000-000,MRVOA-21 WAS PULLING SOUTH INTO TRACK 134.  THE CONDUCTOR STOPPED THE MOVE SHORT OF THE CONE IN TRAC,K 134 TO LINE THE SWITCHES TO TRACK 810.  CONDUCTOR STATES THAT ALL SWITCHES WERE LINED FOR HIS MOVE,.  THE THEN GAVE HAND SIGNALS TO THE ENGINEER TO MOVE AHEAD INTO TRACK 810.  CONDUCTOR STARTED THE E,"NGINEER AT 73 CARS, THEN DROPPED HIM DOWN TO 40, 30, 20, 12, 8, 5 DOWN TO 3 CARS TO A STOP AND THAT''",S WHEN HE HEARD THE CARS HIT THE GROUND.  DOWNLOAD REVIEW REVEALED EXCESSIVE DYNAMIC BRAKING IN A SH,ORT DISTANCE.,,,,,,,,,,0,37.813846,-122.302532,2,5,,,,NILES SUB
21,09,ATK,168291,,,,,21,09,UP,0921NC054,,749958W,21,09,08,10,54,PM,07,0,0,0,0,,SAN JOSE,0039.1,06,66,4,1,066,R,14,1,0,2,Y,SINGLE MAIN TRACK,4,,1,AMT,000011,001,,,,000,,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11407,0,M302,,0,0,0,0,M302,1,4,066,11607,,06C085,0,000000,0,1,0,1,1,03,31,03,31,2,7,,No,,,,218,,2021,0,0,0,0,0,0,SANTA CLARA,085,,,,Y,CWR,,"GRADE CROSSING: TRAIN 14(08) OPERATING WITH LOCOMOTIVES (11/33) AND (7) CARS WAS DELAYED 330""  NORTH",OF SAN JOSE STATION ON UNION PACIFIC COAST SUBDIVISION AT MILEPOST/39.1 STRIKING AN UNOCCUPIED VEHI,CLE ON THE TRACKS.,,,,,,,,,,,,,0,37.427196,-121.977542,1,1,Q,,,COAST
21,03,UP,0321GP007,,,,,21,03,UP,0321GP007,,,21,03,06,5,45,AM,01,0,0,0,0,,DENVER,3.22,08,30,1,1,003,E,MNYG,2,0,8,Y,YARD 004,1,,2,UP,007845,003,,,,000,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12843,1456,H703,,0,0,0,0,H703,2,1,003,14299,,08C031,0,000000,0,1,0,1,0,,44,,44,1,6,,CL,,,,249,,2021,0,0,0,0,0,0,DENVER,031,,,,N,OTH,000-000-000,MNYGR-06 CREW WAS GOING TO PUT THEIR POWER ON THEIR TRAIN.  WHILE TRAVERSING THE NUMBER 4 SWITCH AT,"THE NORTH END, THE SWITCH MOVED UNDER THE LOCOMOTIVE RESULTING IN THE REAR OF THE LOCOMOTIVE UP7845","STARTING TO GO DOWN ANOTHER TRACK, AND DERAILING.",,,,,,,,,,,,,0,39.798312,-104.998511,2,5,K,,,MOFFAT TUNNEL SUB
21,10,IC,1086086,,,,,21,10,IC,1086086,,,21,10,14,11,30,PM,04,0,0,0,0,,CICERO,8.04,17,60,4,2,002,E,,4,0,5,Y,CITCO LEAD,1,,4,CSOX,023677,001,N,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15580,0,H021,H310,0,0,0,0,H021,4,1,002,31280,,17C031,0,000000,0,1,0,1,0,09,30,09,30,3,4,,Cl,,,,317,,2021,0,0,0,0,0,0,COOK,031,,,,N,OTH,000-000-000,THE CREW OF R94491-14 WAS IN THE PROCESS OF SERVICING INDUSTRY WHEN THE CONDUCTOR PLACED THE PULLS F,ROM THE INDUSTRY TO THE LEAD WITHOUT SECURING THE CARS. AFTER THROWING THE SWITCH INTO TRACK 1 EMPLO,"YEE STARTED HIS SHOVE MOVE, BUT THE CARS PREVIOUSLY PLACED ON THE LEAD ROLLED FREELY INTO THE SIDE O",F CAR UTLX669030.,,,,,,,,,,,,0,41.832883,-87.732217,2,5,,,,FREEPORT
21,10,UP,1021MA015,,,,,21,10,ALS,20211012,,,21,10,12,3,0,PM,01,0,0,0,0,,EAST ST LOUIS,3.0,17,77,2,1,008,E,MASN,3,13472,1,Y,YARD 013,1,,2,GATX,227284,128,Y,,,000,,2,0,0,0,0,0,0,0,0,0,106,0,63,0,0,3,0,2,0,0,32527,0,H503,H525,0,0,0,0,H503,2,1,008,49709,,17C163,0,000000,0,1,0,1,0,05,,05,,1,6,,CL,,,,442,,2021,0,0,0,0,0,0,ST CLAIR,163,00,00,,N,OTH,000-000-000,THE MASNP-11 WAS SHOVING WHEN THE U-MAN GAVE THE ENGINEER A 15 CAR COUNT TO A JOINT. THE ENGINEER SE,"T 20 LBS AND GRABBED 50% INDEPENDENT. THE U MAN GAVE THE ENGINEER ANOTHER CAR COUNT, THE ENGINEER GR",ABBED ANOTHER 14 LBS OF AIR AND GRABBED 100% INDEPENDENT. THEY WERE SHOVING AT 8 MPH AND THE EXCESSI,"VE PRESSURE FROM THE POOR TRAIN HANDLING CAUSED 5 CARS TO ROLL, RESULTING IN A DERAILMENT. **ALS MAI","NTAINS TRACK. ALS TRACK DAMAGE = $17,182**",,,,,,,,,,,0,38.582947,-90.135811,2,5,L,,,ALTON & SOUTHERN GAT
21,10,IC,1087042,,,,,21,10,XMHM,INDUSTRY,,,21,10,31,10,20,AM,01,0,0,0,0,,JOHNSTON CITY,73.50,17,55,2,1,008,E,H500,3,20310,1,Y,POND CREEK LEAD,1,,4,OFAX,085119,126,N,,,000,,2,0,1,0,0,0,0,0,0,0,135,0,2,0,0,4,0,1,0,0,60012,17000,M202,,0,0,0,0,M202,4,1,008,77012,,17C199,0,000000,0,1,0,1,0,01,50,01,50,1,6,,Cl,,,,305,,2021,0,0,0,0,0,0,WILLIAMSON,199,,,,N,CWR,000-000-000,CREW OF H 50091-31 WAS TRYING TO PULL OUT OF INDUSTRY WHEN THEY DERAILED 5 CARS. INVESTIGATION REVEA,LED CAR OFAX85063 DOOR OPENED AND COAL SPILLED OVER THE RAIL. INVESTIGATION REVEALED CUSTOMER FAILED,TO PROPERLY CLOSE AND LOCK THE OUTLET DOOR. CUSTOMER EMPLOYEE WAS AT FAULT NO FORM 6180.81 WILL BE,SENT.,,,,,,,,,,,,0,37.858178,-88.732391,2,5,,,,BLUFORD
21,10,WC,1086883,21,10,ATK,168848,21,10,WC,1086883,,,21,10,29,10,10,PM,09,0,0,0,0,,LOCKPORT,32.10,17,53,4,2,000,,,,0,,,MAIN TRACK 02,4,3.80,1,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M402,,0,0,0,0,M402,1,4,075,12833,,17C197,0,000000,0,0,0,0,0,,,,,1,4,,No,,,,73,,2021,0,0,0,0,0,0,WILL,197,,,,,CWR,,AMTRAK P30691-29 STRUCK A VEHICLE THAT WAS DRIVING ON/BETWEEN THE TRACKS.,,,,,,,,,,,,,,,,41.5849,-88.06112,1,1,Q,,,JOLIET
21,05,NOPB,D20210528E,,,,,21,05,NOPB,D20210528E,,,21,05,28,10,30,PM,01,0,0,0,0,,NEW ORLEANS,2,22,70,4,1,008,E,PB20,3,5350,1,Y,206,1,,2,ECUX,881357,119,N,,,000,,3,0,0,0,0,0,0,0,0,0,37,0,93,0,0,1,0,12,0,0,20000,7019,T212,,0,0,0,0,T212,2,1,008,27019,,22C071,0,000000,0,1,0,1,1,07,30,07,30,1,5,,Cl,,,,30,,2021,0,0,0,0,0,0,ORLEANS,071,00,00,,N,OTH,000-000-000,BROKEN RAIL DERAILING 13 CARS.,,,,,,,,,,,,,,,0,29.915389,-90.107764,2,5,K,,,COTTONWAREHOUSE
21,07,ATK,168016,,,,,21,07,ATK,168016,,,21,07,08,10,39,PM,11,0,0,0,0,,HANOVER,0106.2,24,75,4,2,000,E,20,1,0,2,Y,MAIN,6,,1,AMT,025000,005,Y,,,000,,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14156,0,M406,,0,0,0,0,M406,1,6,000,14156,,24C003,0,000000,0,1,0,1,1,02,26,02,26,1,2,,No,,,,252,,2021,0,0,0,0,0,0,ANNE ARUNDEL,003,,,,Y,CWR,,"TRAIN 90(08) WAS DELAYED 234"" AFTER A REPORT OF A FIRE IN THE FOURTH CAR IN THE CONSIST, C/25000. TH",E CONDUCTOR REPORTED UNABLE TO EXTINGUISH THE FIRE WITH AN ON BOARD FIRE EXTINGUISHER. ALL PASSENGER,S WERE EVACUATED FROM THE TRAIN TOWARDS THE STATION.,,,,,,,,,,,,,0,39.192295,-76.694578,1,1,J,Q,,NEC
